id	text	label
144	Your response is truly one of the most amazing ones I’ve seen.	admiration
145	That’s a straight up ghoul	neutral
146	I don’t understand why people give gold to crossposts. You deserve all the upvotes.	admiration
147	No problem at all, glad I could help :) Cheers!	joy
148	We're not moving.	neutral
149	My [NAME]! This isnt a vaccine! It's a jello shot!	surprise
150	Who do you think can lead the Packers to where they need to be?	curiosity
151	Thanks, :), as the days go by they are getting better.	gratitude
152	"*""Success is the best revenge.""* Good job OP. Stay strong. You're almost there."	admiration
153	Food stamps are a disgrace. People should get money!	disapproval
154	Whisper me your steam id but it'll be 1-2 hours until I can start playing	neutral
155	By [NAME]! That’s [NAME] music!	joy
156	You just needed a [RELIGION] grandparent to be killed	neutral
157	You live in Appalachia, don’t you?	curiosity
158	That pole and cheap plastic fence surely would offer excellent protection from a car. Walk it off brah.	approval
159	What the fuck is [NAME] doing in the background	anger
160	It creates perverse incentives. Allow underpaid prison labour and suddenly you've an incentive towards exploiting your prison population rather than rehabilitating them.	annoyance
161	Yeahhhh no, you're banned for this whole convo.	approval
162	To be fair, [NAME] is an amazing broadcaster.	neutral
163	I had 3 last night 🙈 this rant was after glass #1	neutral
164	[NAME]	disgust
165	Dv cus it’s playful doggos	neutral
166	I'm 14 stone...so probably about 2 stone over weight. I don't drink alcohol or do drugs, but I love food.... 	love
167	Needs a real big bag of rice!	neutral
168	Also curious. But as someone who lives in northern Ontario, this is pretty accurate	curiosity
169	Like the handout this guy got to build the stadium?	curiosity
170	i think its cool because its a hybrid that comes in stickshift	joy
171	Ask over at r/NewTubers	neutral
172	The first time I'm seeing it so thank you for sharing. Definitely shows the propaganda efforts.	gratitude
173	It's simple, he's blunt, and that is what some people need.	admiration
174	And yet you had to walk back your support of this bill when you found out it would catch up your shotgun	neutral
175	It's also one of the very few decent solo FPS released this year.	approval
176	I like this sub, and I like you. You're alright. 	love
177	bet you could still eat them	neutral
178	Yeah, I was thinking my boy was into them before that. But I doubt Panic! At the Disco would have peaked his interest.	confusion
179	She doesn’t have to be added to the game for her to be significant, [NAME] was just an extreme example.	neutral
180	At least they can make some good pizza	neutral
181	I've never been there before so I can't confirm or deny but I would be really surprised if a casino only had limit holdem	surprise
182	"Pretty sure you don't know what ""hurt"" means"	neutral
183	Go pursue that education. Let [NAME] wallow in her own sadness.	sadness
184	Such a nice photo of city hall.	admiration
185	I was suffering a delirium flu during the phantom facemask game so it’s all sorts of suffering for me.	sadness
186	I had no idea what the fuck this was about. Found the ad and watched it. It's actually decent.	admiration
187	I'm sorry OP, every single thing on that list is incredibly wrong. I hope you're doing well now. 	optimism
188	I’m assuming you’re referring to the poor execution of the hanging? He only used half of the holes	curiosity
189	If ANYONE told me upfront they were a whatever game console guy/girl, I’d reconsider dating them. You’re too into video games. 	neutral
190	Those are some fine looking pills.	neutral
191	Would feel weird swiping right on a leftie	neutral
192	She has at least 12 elbows and all of them are happy. You get it gurl	joy
193	Me, too, please.	neutral
194	Not surprised, damn that sucks. Concussions are awful.	disgust
195	ur mom is in purgatory xd	neutral
196	Yes, it's normal. More like considering you options than desperation	approval
197	The bathroom on the first floor at my school had no soap dispenser, a destroyed toilet, and toilet paper so long it left the bathroom.	neutral
198	Not all [NAME] supporters are tankies, but all tankies are [NAME] supporters	confusion
199	It's bizarre that it's considered normal to intentionally brainwash people into murdering psychos.	disapproval
200	What do you think? If you look at my question above? Last thing I should do is to say sorry?	confusion
201	Bet flop. Good [NAME] what are you doing on the river.	curiosity
202	Mmm, no. I highly dislike this. 10/10 TIHI material.	neutral
203	All the scumbags around everywhere. Sucks that it's so easy to use for a lot of other things.	neutral
204	Gamers know all too well how it feels to be oppressed by society.	approval
205	It's extremely common. Hell you probably have it yourself and just don't know.	approval
206	You’ve described some states in the South, like 	neutral
207	Lol, get em Corsi! 	amusement
208	Sounds nice owo	admiration
209	A jellyfish. He purposely stung himself with it.	neutral
210	No he was given a bad team to work with unfortunately, and never got the final shot he deserved :(	sadness
211	Does nobody notice that this is a doctored photo..?? Like really bad clone stamp.. I mean it could be beautiful but this is not a real photo.	disapproval
212	The dad was in stitches..	neutral
213	an interesting trade would be [NAME] and a 1st to the Mavs for [NAME]. and [NAME]	neutral
214	Doesn't seem like a big deal. I mean is she in the room?	curiosity
215	Lol, that’s funny. I’ll have to find our Aggieopoly and see how it compares.	amusement
216	We were all duped? I’ve seen through her from day 1, even posted about how fake she is 	annoyance
217	At least you get sunny on Netflix, they took it off in Canada :(	sadness
218	[NAME] better be careful. He'll be next.	caring
219	That's the first time I have seen OG pass up that kind of opportunity.	neutral
220	To be a buzzkill, something can be both depressing and uplifting and despite being depressing it is most definitely uplifting. 	neutral
221	"Mostly shit paying jobs with more openings + older people rejoining the workforce. Ofc they will spin it as ""good"" news..."	neutral
222	This shirt IS a problem. Get rid of it.	disappointment
223	my mom caught be masturbating to dominatrix porn (i was bored of vanilla shit) LOL But porn addiction is bad because it can stop you from approaching women etc	amusement
224	I really like this photo.	love
225	"Lmao the cop stops like *""Fuck, well I guess he won't be resisting on the way""*"	amusement
226	I said I'm full, sir. That means no desert either. No one likes a pushy waiter.	neutral
227	I live in the area, and I haven’t noticed the smell anymore the last few times I’ve walked by there.	neutral
228	the young and the goal-less Thanks TSN, i hate it	gratitude
229	I am still a child	neutral
230	I’m sorry, you just sound like one of those people who takes overwatch super seriously and has no life	annoyance
231	I told my mum and an ambulance is coming now. Thanks everyone	gratitude
232	"ick! That makes me feel gross. I have ""Addison's Disease"". "	disgust
233	Tis nothing but a scratch	disappointment
234	Here did you know that [NAME] slept with 35,000 women. Outrageous.	surprise
235	I live in Suiderstrand, which is past Aghulas, no option for fibre here unfortunately :(	disappointment
236	Hi [NAME]!	neutral
237	hey thank you! any time I can help someone, I'm more than happy to:)	gratitude
238	Taco Tuesdays after meatless Monday. I call it meatcycling	neutral
239	I don't think they consider geometric patters to be abstract art.	neutral
240	Ah, thank you	gratitude
241	Season 2 just started and as a huge TNG fan I can definitely say the first season is the closest I've ever seen to another season of TNG	approval
242	its oxford, if you dont agree with oxford go live in a damn cave, because they is correct, and [NAME] I LOVE ENGLAND	neutral
243	Why are you trying to cheat NJ transit? NJ transit is in deep financial debt and you are trying to steal from them. Shame.	curiosity
244	Idk for fun?	confusion
245	It makes us more determined to tank for Zion	approval
246	 I'm scared to even ask my mom ,I might get yelled at 😟	fear
247	If [NAME] has similar role to end year then no way am I taking those over him ...especially Sony	neutral
248	I'm in Australia, so idk if there's really anything I can do.	neutral
249	r/hockey has no love for us! Just stay here with all us cool people!	neutral
250	They don't seem to care much. Al qaida or ahrar al sham makes little difference anyway.	disapproval
251	the number 9 recruit from the 2019 class at USC has already entered the transfer portal lol it's only been like 3 weeks man give it a chance	amusement
252	nah me good	neutral
253	I have his signature on my jersey. Lined up at Canadian Tire for it when I was younger. Happy retirement!	joy
254	I am just like this! Glad to know I’m not imagining it.	pride
255	I do not understand why everything in this script must inevitably explode.	neutral
256	The logic is so the government can oppress you.	neutral
257	Oh yeah! He was great for us. 0.69 ERA in 24 G with 10.7 K/9. I forgot about him.	admiration
258	I hope for the camera-man's sake that gun is empty	optimism
259	Please never don't not reproduce.	annoyance
260	Source each of these and trend lines from previous years please. No, listing a few agencies and telling people to Google 8t isn't a source. 	disapproval
261	Holy shit this golden comment flew under the radar. I laughed so hard	amusement
262	Saying babcuck should be fired = woke gimme updoots	neutral
263	[NAME] rescued me as well. I also had a couple weeks of [NAME] saving my ass.	neutral
264	Also, the Detroit Police Underwater Recovery Team is a thing that I want to learn more about...	neutral
265	It’s like you didn’t even read the comment you’re responding to.	realization
266	They hated him, because he told them the truth	sadness
267	I hope she lives to be 200, just to piss them off.	optimism
268	Eventually sure. But the question really lacked the maybe later option lol	amusement
269	"Okay fine. Still though. Make some joke ""maybe we should cuddle for warmth"" and see how she responds. "	neutral
270	That would never pass since every side would get what they want. There has to be a loser in his eyes	neutral
271	I focus on the pain	neutral
272	Imagine what could've happened if you saw the longer director's cut!	curiosity
273	This game looks way too fast for the Oilers rn	neutral
274	I am more than pleasantly surprised I clicked this link	surprise
275	I’ve seen 62 to 8 in 12 hours up north. Weather is crazy stuff.	annoyance
276	I have dayz but haven’t played in years. Last I heard it’s still a broken mess lol.	amusement
277	"""[NAME]"" Still love [NAME], and while the actual [NAME] was cool at first, she's gotten pretty ""meh"" to me."	neutral
278	It's kinda funny when it's told to you	amusement
279	But even then it would need something else to live	disapproval
280	Thank you, needed to hear this today! 	gratitude
281	MEEEEEEEEE. Most people don't get my humour, but every now and then somebody does and we non-stop laugh together. 	amusement
282	I read fuck and not tuck. Was wondering how the hell it wasn't creepy....	surprise
283	wake me up	neutral
284	Now THAT is a murder by words!	annoyance
285	Seeing that knife on this subreddit put the fear of [NAME] in me	fear
286	The important thing to remember is 0 is also a number!	neutral
287	Sorry he was a United director when he bought it.	neutral
288	*Get up and Drive your funky soul by [NAME] starts playing	neutral
289	Man my siblings would never just kill me like that	neutral
290	You tell me, was this a short trip or not? I was wrong, it was 4.3 	annoyance
291	Good news: this is shark tale not finding Nemo	admiration
292	The only reason people are there is because they dont know [NAME] is fired lmao.	amusement
293	Thats insane. Someone died like 2 years ago after a bolt got kicked up by a truck and went through his windshield and hit him on 146 in LaPorte	grief
294	Are you still sitting in the car right now?	curiosity
295	He probably banked on the inherent secrecy of the community and ignorance (on Belgian law) of his victims.	annoyance
296	[NAME] has to lose it a some point, just hope it's not tonight.	optimism
297	I feel awful posting it, but I couldn’t not share :|	disgust
298	"See also: ""Useless College Degrees From Prestigious and Ridiculously Overpriced Universities"""	neutral
299	“Wow. Just .. wow. Read a book, sweatie!”	surprise
300	Cheers to you on your cake day.	excitement
